RS,AD,VCP_Req,ATR,Trades,WinRate,PF,TotalReturn
90,60,False,4.0,600,50.0,3.2717896366471337,9239.592763254632
90,50,True,5.0,2204,50.18148820326679,3.132249185661762,31494.97415507627
90,50,True,4.0,2647,49.90555345674348,3.1256078480973053,37730.853203231745
80,50,True,5.0,2836,48.87165021156559,3.0129501479843293,38848.223330620254
80,50,True,4.0,3445,48.417997097242385,2.97859612162286,46355.052890041654
90,50,True,3.0,2727,48.51485148514851,2.941110262968453,36658.20191066836
90,50,False,4.0,5041,48.422931957944854,2.910202794409134,69138.40160191209
90,50,False,5.0,4458,48.4297891431135,2.8975385089521457,61276.931843542756
80,50,True,3.0,3545,47.672778561354015,2.868901667759074,45905.473659559095
70,50,True,5.0,3164,46.93426042983565,2.8616281784745254,41401.564016647564
90,60,True,4.0,274,43.43065693430657,2.8451816222456507,3867.972105491545
70,50,True,4.0,3810,46.876640419947506,2.8316028852480666,49252.477495883315
90,60,False,3.0,638,47.02194357366771,2.798515003288629,8551.779883352612
90,50,False,3.0,5155,47.390882638215324,2.791557028653735,67639.81334581136
80,50,False,4.0,6363,47.17900361464718,2.78259522163892,83084.22030657684
70,50,True,3.0,3910,46.24040920716113,2.7414105934570907,48802.898265400756
90,60,False,5.0,548,46.53284671532847,2.7409779718619474,6909.500054719429
80,50,False,5.0,5540,46.91335740072202,2.727232984386725,71593.23178715864
80,50,False,3.0,6500,46.53846153846154,2.7065406168190616,82229.83988141987
80,60,False,4.0,740,46.48648648648649,2.6928929987235883,9162.739246468522
70,50,False,4.0,7129,45.51830551269463,2.6285187296665513,88017.5058252163
70,50,False,5.0,6193,45.583723558856775,2.6276248082765603,77149.33625664725
70,50,False,3.0,7293,45.08432743726861,2.568344339103636,87422.68785371809
80,60,True,4.0,377,43.236074270557026,2.4540852592576794,4285.521083815637
70,60,False,4.0,786,43.765903307888046,2.421507269328871,8556.146729538661
80,60,False,3.0,778,44.2159383033419,2.38926686735844,8474.926366566504
70,60,True,4.0,397,41.05793450881612,2.3365885854760684,4137.318052810499
80,60,False,5.0,683,43.04538799414349,2.269452368456006,6746.024257590456
70,60,False,3.0,824,41.74757281553398,2.173173610133716,7868.333849636641
90,60,True,3.0,312,38.141025641025635,2.142270520395961,3180.159225589526
70,60,False,5.0,729,40.32921810699588,2.036941087568305,6139.431740660594
80,60,True,3.0,415,39.277108433734945,1.989729723299445,3597.7082039136185
70,60,True,3.0,435,37.47126436781609,1.9117849840508256,3449.5051729084794
90,60,True,5.0,226,32.743362831858406,1.7160182151669285,1475.3250788940163
80,60,True,5.0,324,34.876543209876544,1.6204001693682912,1806.251776875245
70,60,True,5.0,344,32.848837209302324,1.5419109518812817,1658.048745870106
