Ticker,Entry,Result,PnL%,RS,ATR_Risk,FVG_Gap,BO_Strength,DaysFVGBO
AACG,2020-06-24,Win,38.49600448608399,62.490196078431374,1.1615174101575567,10.679613335978313,6.837610756387047,1
AACG,2020-07-08,Loss,-15.905407752147784,83.62745098039215,1.8832004304068728,2.3622025071121953,5.7142888769811995,6
AACG,2020-07-08,Loss,-15.905407752147784,83.62745098039215,1.8832004304068728,2.3622025071121953,5.7142888769811995,6
AACG,2020-07-08,Loss,-15.905407752147784,83.62745098039215,1.8832004304068728,2.3622025071121953,5.7142888769811995,6
AACG,2020-07-08,Loss,-15.905407752147784,83.62745098039215,1.8832004304068728,2.3622025071121953,5.7142888769811995,6
AACG,2020-07-08,Loss,-15.905407752147784,83.62745098039215,1.8832004304068728,2.3622025071121953,5.7142888769811995,6
AACG,2020-11-06,Win,14.137921657913536,72.09803921568627,1.4349995201824397,1.8181800448205245,1.7543843138140724,3
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-06,Win,14.137921657913536,72.09803921568627,1.4349995201824397,1.8181800448205245,1.7543843138140724,3
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-06,Win,14.137921657913536,72.09803921568627,1.4349995201824397,1.8181800448205245,1.7543843138140724,3
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-06,Win,14.137921657913536,72.09803921568627,1.4349995201824397,1.8181800448205245,1.7543843138140724,3
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-06,Win,14.137921657913536,72.09803921568627,1.4349995201824397,1.8181800448205245,1.7543843138140724,3
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-25,Win,22.51968605341403,89.3921568627451,2.5999997399070396,0.8695644061371431,1.5999984741210893,6
AACG,2020-11-24,Win,13.719017999222881,72.09803921568627,1.5702711608131434,0.8695644061371431,0.833332505491069,5
AACG,2020-11-24,Win,13.719017999222881,72.09803921568627,1.5702711608131434,0.8695644061371431,0.833332505491069,5
AACG,2020-11-24,Win,13.719017999222881,72.09803921568627,1.5702711608131434,0.8695644061371431,0.833332505491069,5
AACG,2020-11-24,Win,13.719017999222881,72.09803921568627,1.5702711608131434,0.8695644061371431,0.833332505491069,5
AACG,2021-05-28,Loss,-9.23490022342541,68.25490196078431,1.4593939003143153,3.6231849629747175,0.6756750225933805,10
AACG,2021-05-28,Loss,-9.23490022342541,68.25490196078431,1.4593939003143153,3.6231849629747175,0.6756750225933805,10
AACG,2025-11-11,Loss,-19.50000029802323,45.19607843137255,2.330487821135473,0.8695644061371431,0.7194237817389482,4
AACG,2025-11-11,Loss,-19.50000029802323,45.19607843137255,2.330487821135473,0.8695644061371431,4.477607558580465,4
AACG,2025-11-11,Loss,-19.50000029802323,45.19607843137255,2.330487821135473,0.8695644061371431,5.26315270557125,4
AACG,2025-11-10,Loss,-14.621217283937465,45.19607843137255,1.7101273366530865,0.8695644061371431,1.538469297646361,3
AACG,2025-11-10,Loss,-14.621217283937465,45.19607843137255,1.7101273366530865,0.8695644061371431,1.538469297646361,3
AAME,2021-09-02,Loss,-6.7572715346553265,47.11764705882353,1.3439979037491374,1.0204187381873142,1.2284878970054924,1
AAME,2021-09-02,Loss,-6.7572715346553265,47.11764705882353,1.3439979037491374,1.0204187381873142,1.2284878970054924,1
AAME,2021-09-02,Loss,-6.7572715346553265,47.11764705882353,1.3439979037491374,1.0204187381873142,1.2284878970054924,1
AAME,2021-09-02,Loss,-6.7572715346553265,47.11764705882353,1.3439979037491374,1.0204187381873142,1.2284878970054924,1
AAME,2021-09-02,Loss,-6.7572715346553265,47.11764705882353,1.3439979037491374,1.0204187381873142,1.2284878970054924,1
AAME,2021-09-02,Loss,-6.7572715346553265,47.11764705882353,1.3439979037491374,1.0204187381873142,1.2284878970054924,1
AAME,2021-09-30,Loss,-7.667475165124958,47.11764705882353,1.6199282397044465,0.7672624422323607,1.7157027660110957,3
AAME,2021-10-06,Loss,-11.62499564811648,50.96078431372548,2.222925605875233,0.24752413039998444,3.703687530596733,5
AAME,2022-07-11,Loss,-16.715655113732232,33.666666666666664,2.046033380688475,1.5037531468387928,1.2945007199762326,4
AAME,2022-07-11,Loss,-13.89776766430368,33.666666666666664,1.7011176866683548,5.090914952453532,1.2945007199762326,3
AAME,2022-10-26,Loss,-9.840002581995233,49.03921568627451,3.5323105473812557,3.260871189934277,0.6711382256109122,1
AAME,2022-10-26,Loss,-9.840002581995233,49.03921568627451,3.5323105473812557,3.260871189934277,0.6711382256109122,1
AAME,2022-10-26,Loss,-9.840002581995233,49.03921568627451,3.5323105473812557,3.260871189934277,2.7397300257211876,1
AAME,2022-11-04,Loss,-7.498347857546146,54.80392156862746,1.8493022379034216,3.846162909797377,0.9999962126345574,8
AAME,2022-10-26,Loss,-9.840002581995233,49.03921568627451,3.5323105473812557,3.260871189934277,2.7397300257211876,1
